Name,Appliance,Rack,Rank,DEFAULT,IP,MAC,Interface,channel,OPTIONS,Network
openstack01,backend,1,1,TRUE,10.10.110.90,00:22:19:53:7b:fb,eno1,,,private
openstack01,,,,,,00:22:19:53:7b:fd,eno2,,,
openstack01,,,,,,,eno2.110,br-mgmt,,
openstack01,,,,,,,eno2.120,br-tunnel,,
openstack01,,,,,,,eno2.130,br-storage,,
openstack01,,,,,,,eno2.210,br-repl,,
openstack01,,,,,192.168.110.1,,br-mgmt,,bridge,
openstack01,,,,,192.168.120.1,,br-tunnel,,bridge,
openstack01,,,,,192.168.130.1,,br-storage,,bridge,
openstack01,,,,,192.168.210.1,,br-repl,,bridge,
openstack02,backend,1,2,TRUE,10.10.110.91,00:26:b9:4b:ad:9a,em1,,,private
openstack02,,,,,,00:26:b9:4b:ad:9b,em2,,,
openstack02,,,,,,,em2.110,br-mgmt,,
openstack02,,,,,,,em2.120,br-tunnel,,
openstack02,,,,,,,em2.130,br-storage,,
openstack02,,,,,,,em2.210,br-repl,,
openstack02,,,,,192.168.110.2,,br-mgmt,,bridge,
openstack02,,,,,192.168.120.2,,br-tunnel,,bridge,
openstack02,,,,,192.168.130.2,,br-storage,,bridge,
openstack02,,,,,192.168.210.2,,br-repl,,bridge,
openstack03,backend,1,3,TRUE,10.10.110.92,00:22:19:53:7c:32,eno1,,,private
openstack03,,,,,,00:22:19:53:7c:34,eno2,,,
openstack03,,,,,,,eno2.110,br-mgmt,,
openstack03,,,,,,,eno2.120,br-tunnel,,
openstack03,,,,,,,eno2.130,br-storage,,
openstack03,,,,,,,eno2.210,br-repl,,
openstack03,,,,,192.168.110.3,,br-mgmt,,bridge,
openstack03,,,,,192.168.120.3,,br-tunnel,,bridge,
openstack03,,,,,192.168.130.3,,br-storage,,bridge,
openstack03,,,,,192.168.210.3,,br-repl,,bridge,
